person_id	display_name	wikidata_qid	born	died	confidence	same_surname_warning	note
grivas	Grivas, Efstratios	Q641271	1966		high	Georgios Grivas (EOKA leader) shares the surname but is not a chess figure; no other chess Grivas in Wikidata.	Wikidata Q641271 'Efstratios Grivas', Greek GM (b. 1966, FIDE ID 4200039); the Sicilian 4...Qb6 line called the Godiva Variation is the Grivas Sicilian, named for him by John Nunn.
grob	Grob, Henri	Q684458	1904	1974	high		enwiki 'Henri Grob' maps to Q684458 (Swiss IM 1904-1974), credited by Wikipedia's openings list with 1.g4; he is the only chess Grob on Wikidata.
grunfeld	Grünfeld, Ernst	Q93742	1893	1962	high	Yehuda Gruenfeld (Q1338537), Israeli GM b. 1956, shares the surname; also a distinct Austrian economist Ernst Grünfeld (Q1358384, 1883-1938) with the identical full name.	Wikidata Q93742 'Ernst Grünfeld', chess international grandmaster (1893-1962), Austrian, enwiki 'Ernst Grünfeld' — eponym of the Grünfeld Defence.
gukesh-d	Dommaraju, Gukesh	Q56026072	2006		high		en.wikipedia 'Gukesh Dommaraju' carries wikibase_item Q56026072 and states Dommaraju is the family name and Gukesh the given name, so the Surname, Forename rendering is 'Dommaraju, Gukesh'; Wikidata's English label is the short chess-scene form 'Gukesh D', with 'Gukesh Dommaraju', 'Dommaraju Gukesh' and 'D. Gukesh' as aliases.
gulko	Gulko, Boris	Q893658	1947		high	A same-named Q16640689 exists (Boris Gulko, military officer, 1897-1939) and is not a chess player; do not use it.	enwiki 'Boris Gulko' maps to Q893658 (Soviet-American GM b. 1947), the only chess player named Gulko on Wikidata, and his 1994 PCA candidates playoff against Short is the row's event.
gunderam	Gunderam, Gerhart	Q1512937	1904	1992	high		Forename corrected Gerhard -> Gerhart. Wikidata Q1512937 'Gerhart Gunderam', human, German chess player/theoretician 1904-1992; dewiki lead reads 'Heinz Gerhart Gunderam (* 26. November 1904 in Großenhain; † 1992 in Husum) war ein deutscher Schachtheoretiker', and enwiki 'Gunderam Defense' names him as the theoretician who played 1.e4 e5 2.Nf3 Qe7 versus August Babel in 1958. The enwiki eponym list spells it 'Gerhard', but Wikidata, dewiki and the Gunderam Defense article all give 'Gerhart'.
gunsberg	Gunsberg, Isidor	Q357796	1854	1930	high		Wikidata Q357796, Hungarian-born British master (1854-1930) and 1890-91 world championship challenger, is the eponym of the Gunsberg lines; sole chess Gunsberg on Wikidata.
gurgenidze	Gurgenidze, Bukhuti	Q650054	1933	2008	high	David Gurgenidze (Q338291, b. 1953) is a notable Georgian composer of chess endgame studies — a different chess Gurgenidze.	Wikidata Q650054 'Bukhuti Gurgenidze', Soviet (Georgian) chess player 1933-2008, en.wikipedia article; the Gurgenidze systems in the Modern and Caro-Kann are his, as is the catalogue's Rossolimo Gurgenidze row.
gusev	Gusev, Yuri				not-found	Wikidata holds five chess Gusevs (Q21638545 Yury, Q27525608 Aleksey, Q27525609 Vladimir A, Q71316177 Nikita, Q134176649 Mikhail) and none is the Nikolai Nikolaevich Gusev the sources name as eponym. Needs a human decision plus possibly a new Wikidata item.	Deliberately unresolved rather than matched to the obvious candidate: the Wikibooks chess-opening-theory page for 1.d4 d5 2.c4 c5 3.cxd5 Nf6 states the Gusev Countergambit is 'named after the Soviet Master of Sports Nikolai Nikolaevich Gusev', and no Wikidata item exists for that player; the plausible-looking Yury Gusev (Q21638545, Soviet chess player b. 1921, of Gusev's Immortal) has no sourced connection to the line and his enwiki article does not mention it, so assigning his QID would be a namesake error.
hanham	Hanham, James	Q6135487	1840	1923	high	Several other Wikidata people are named James Hanham (Dorset baronets Q75279792 and Q75743707 among them); none is a chess figure, and Q6135487 is the only chess player surnamed Hanham.	Wikidata Q6135487 (human, chess player, United States); enwiki names him for the Hanham Variation of the Philidor Defence 1.e4 e5 2.Nf3 d6 3.d4 Nd7, citing Hooper and Whyld. Full name Major James Moore Hanham, but Wikidata's label and the enwiki title are both 'James Hanham', so the display name stands.
harrwitz	Harrwitz, Daniel	Q62035	1821	1884	high		en.wikipedia 'Daniel Harrwitz' carries wikibase_item Q62035, and Wikipedia's list gives the Harrwitz Attack as QGD 1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bf4, named after him.
hodgson	Hodgson, Julian	Q142319	1963		high		Wikidata Q142319, British GM born 1963 (FIDE 400076); the repo's docs/evidence/eponyms/named-after-people.tsv row D.QPG.Lev attributes the Hodgson Attack alias of 1.d4 d5 2.Bg5 to him, alongside the separate Stepan Levitsky claim on the same line.
hopton	Hopton				not-found		No Wikidata item exists for any chess player named Hopton — a SPARQL scan of items with occupation chess player returned zero Hopton rows, and every Wikidata 'Hopton' is an English village, a surname item, or an unrelated person; Wikipedia's list says only 'named after Hopton', with no forename and no link, the trail leading to an obscure 'R. Hopton' credited with an 1860 game in the line.
horwitz	Horwitz, Bernhard	Q62031	1807	1885	high	The wbsearchentities top hit for 'Bernhard Horwitz' is Q104805997, a Holocaust victim born 1868 with the identical name; also do not conflate with the American player/editor I. A. Horowitz (different spelling).	Wikidata Q62031 is 'German-British chess player (1807-1885)' with occupations chess player and chess composer, the Horwitz of the Horwitz Defence and Horwitz bishops.
hou	Hou, Yifan	Q234011	1994		high		Wikidata Q234011 'Hou Yifan', Chinese GM b. 1994, FIDE ID 8602980, enwiki 'Hou Yifan', and it already carries 'Hou, Yifan' as an English alias; the '(HLJ)' suffix in the input is a Chinese-league team tag, stripped.
hromadka	Hromádka, Karel	Q934788	1887	1956	high	Not a chess collision, but Wikidata carries several other Karel Hromádkas (footballer 1903–1968 Q12028265, ice-hockey player 1905–1978 Q12028266, plus a disambiguation page Q12028264 and unlabelled items). Only Q934788 is the chess player.	"Wikidata Q934788 ""Karel Hromádka"", Czech chess player (1887–1956); the English Wikipedia article states the Hromádka Indian Defense — 1.d4 Nf6 2.Nf3 c5 3.d5 d6, the Czech/Old Benoni — is named after him, matching the listed opening ""Benoni Defence d5, d6""."
hubner	Hübner, Robert	Q77389	1948	2025	high	Wikidata holds at least four other 'Robert Hübner' items (Q94893160 Austrian actor 1860-1892, Q2157636 German TV presenter, Q50426874, plus disambiguation Q17591506). None is a chess figure, but a label-only match on 'Robert Hübner' would pick the wrong item.	Wikidata Q77389 'Robert Hübner', human, German chess player/writer/papyrologist 1948-2025, FIDE ID 4600010; enwiki eponym list credits him with the Hübner Variation of the Nimzo-Indian (4.e3 c5), exactly the 'Nimzo Rubinstein, c5' line listed.
ilyingenevsky	Ilyin-Genevsky, Alexander	Q1970497	1894	1941	high		enwiki 'Alexander Ilyin-Genevsky' maps to Q1970497 (Soviet player and official, 1894-1941), the eponym Wikipedia's openings list names for the Dutch Defence Ilyin-Genevsky Variation; the catalogue's 'Ilyin-Zhenevsky' is the alternative transliteration of the same man.
ioseliani	Ioseliani, Nana	Q259851	1962		high	Q140356693 is a second 'Nana Ioseliani' on Wikidata, a Georgian actor (occupation Q33999) with no description and no sitelinks, carrying a 'different from' statement. Also distinct from Jaba Ioseliani, the Georgian paramilitary leader and playwright.	Q259851 'Nana Ioseliani', Georgian chess player born 1962, holds IM and Woman Grandmaster titles and a Women's World Championship finalist record; no opening was supplied so this rests on the name plus the chess-player occupation.
ivanchuk	Ivanchuk, Vasyl	Q208229	1969		high		Wikidata Q208229 'Vasyl Ivanchuk', human, Ukrainian chess grandmaster, FIDE ID 14100010, 51 sitelinks; enwiki lead 'Vasyl Mykhailovych Ivanchuk ... born March 18, 1969'. Input name already correct - kept 'Vasyl' over the older English rendering 'Vassily Ivanchuk', which Wikidata carries only as an alias. No openings listed for this row.
jaenisch	Jaenisch, Carl	Q32743	1813	1872	high		Wikidata Q32743 'Carl Jaenisch', Finnish-Russian chess player and theorist (1813-1872), enwiki 'Carl Jaenisch' — the Schliemann Defence is also known as the Jaenisch Gambit.
janowski	Janowski, Dawid	Q378839	1868	1927	high	Chaim Janowski (Q5067813, died 1935) is also catalogued on Wikidata with occupation chess player; the opening eponym is the Polish-French master Dawid, 1868-1927.	en.wikipedia 'Dawid Janowski' carries wikibase_item Q378839, and Wikipedia's list gives the Janowski Variation 1.d4 Nf6 2.c4 d6 3.Nc3 Bf5 — the Old Indian line — as named after him.
jerome	Jerome, Alonzo Wheeler		1834	1902	not-found		English Wikipedia's Jerome Gambit article names the eponym as Alonzo Wheeler Jerome (1834-1902) of Paxton, Illinois, but no Wikidata item exists for him: label search, full-text search and a CirrusSearch for chess players named Jerome return only unrelated people who have Jerome as a forename, and the gambit item Q1687720 carries no named-after property, so the QID is left null rather than guessed.
ju	Ju, Wenjun	Q468045	1991		high		Wikidata Q468045, Chinese Women's World Champion born 1991-01-31, FIDE id 8603006; independently matches the resolution already recorded at docs/evidence/people/wikidata-resolution.tsv. Ju is the surname so the 'Surname, Forename' form is already correct; Wikidata explicitly flags her as different from the mathematician Wu Wenjun (Q926125).
kamsky	Kamsky, Gata	Q315155	1974		high		Wikidata Q315155 (human, chess player, United States, born 1974); no openings were supplied, but he is the sole chess player surnamed Kamsky on Wikidata, so the name resolves uniquely.
kan	Kan, Ilya	Q2348754	1909	1978	high		"Wikidata Q2348754 ""Ilya Kan"", Russian chess player (1909–1978); the English Wikipedia article states his opening contribution was the Sicilian line bearing his name, 1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6, which is the Sicilian Kan."
kann	Kann, Marcus	Q86090	1820	1886	high		en.wikipedia 'Marcus Kann' carries wikibase_item Q86090, and the Caro-Kann Defence article states the opening is named after Horatio Caro and 'the Austrian player Marcus Kann', both analysing it in 1886.
karjakin	Karjakin, Sergey	Q217198	1990		high		Wikidata Q217198 'Sergey Karjakin', Ukrainian-born Russian GM b. 1990, FIDE ID 14109603; enwiki title uses the 'Karjakin' transliteration.
karklins	Karklins, Andrew	Q71293221	1947		high	His father Erik Karklins (1915-2017), Riga-born Chicago master, is also a notable chess Karklins but has no Wikidata item; the opening is the son's.	Input forename 'Chicago' was a mechanical artefact; Wikidata Q71293221 'Andrew Karklins' (b. 14 April 1947, FIDE ID 2001730, FIDE Master, Chicago-based US master) is the Karklins of the Petrov Karklins-Martinovsky 4.Nd3, a line he experimented with.
karpov	Karpov, Anatoly	Q131674	1951		high	Input forename was wrong. Wikidata holds at least five other notable Anatoly Karpovs (Q4215781 scientist, Q4215780 psychologist, Q487571 biathlete, Q28124076 literary critic); none is a chess player, so verify by the FIDE ID rather than the name.	Forename corrected from Aleksandr to Anatoly: Q131674 is the world champion (FIDE ID 4100026, GM), after whom the Caro-Kann Karpov Variation 4...Nd7 is named.
kasparov	Kasparov, Garry	Q28614	1963		high	Sergey Kasparov (Q3918615), Belarusian GM b. 1968, is an unrelated chess Kasparov.	enwiki 'Garry Kasparov' maps to Q28614 (world champion, b. 1963), and the Pirc 150 Attack main line is the opening of his 1999 Wijk aan Zee win over Topalov known as Kasparov's Immortal.
katalymov	Katalymov, Boris	Q15116820	1932	2013	high		Wikidata Q15116820, Kazakhstani IM (1932-2013), is the eponym of the Katalimov Variation; kept the input spelling 'Katalymov' because that is the English Wikipedia article title, though the Wikidata English label reads 'Boris Katalimov'.
keene	Keene, Raymond	Q946506	1948		high		Wikidata Q946506, English grandmaster, author and organiser (born 1948), is the eponym of the Keene Defence in the King's Gambit; sole chess Keene on Wikidata.
keres	Keres, Paul	Q207727	1916	1975	high	Not a chess collision, but Wikidata holds a second item labelled exactly 'Paul Keres' (Q61110028, Estonian lawyer born 1982) that a name-only match would hit.	Wikidata Q207727, Estonian grandmaster (1916-1975), is the eponym of the Keres Attack in the Scheveningen and of the Keres/Kangaroo Defence.
kevitz	Kevitz, Alexander	Q2642440	1902	1981	high		Wikidata Q2642440 (human, chess player, United States); enwiki states that in the English Opening Flohr-Mikenas variation (A18) the line 1.c4 Nf6 2.Nc3 e6 3.e4 Nc6 is known as the Kevitz Variation, matching the listed opening exactly.
khenkin	Khenkin, Igor	Q70779	1968		high	Viktor Khenkin (Q4497237, 1923-2010), the Soviet master and prolific chess author, is a different man; the eponym of this Caro-Kann Advance line is the grandmaster Igor, born 1968.	Wikipedia's List of chess openings named after people credits 1.e4 c6 2.d4 d5 3.e5 c5 — the exact move sequence of OCN row B.CaK.Adv.Bot — to Keith Arkell and Igor Khenkin, whose article carries wikibase_item Q70779 (German GM born 1968).
kieseritzky	Kieseritzky, Lionel	Q313177	1806	1853	high	R.K. Kieseritzky (Q7273374), a Russian chess player of Baltic German origin 1870-1923, shares the surname. The King's Gambit line belongs to Lionel.	Wikidata Q313177 'Lionel Kieseritzky', Baltic German chess player 1806-1853, enwiki 'Lionel Kieseritzky'; the King's Gambit Kieseritzky Gambit (5.Ne5) is his.
knorre	Knorre, Viktor	Q62371	1840	1919	high	Knorre is a three-generation astronomer dynasty, Ernst Friedrich (1759-1810), Karl Friedrich (Q85243, 1801-1883) and Viktor; only Viktor was a chess player, and his item is described primarily as an astronomer, so a naive occupation filter would drop him.	"His enwiki article (Wikidata Q62371) explicitly lists ""the Knorre variation of the Open defense in the Ruy Lopez"" (ECO C80) alongside the Two Knights Knorre Variation; the item carries both astronomer and chess player as occupations."
koltanowski	Koltanowski, George	Q553179	1903	2000	high		Wikidata Q553179 'George Koltanowski', Belgian-American chess master (1903-2000); the Koltanowski Gambit is exactly 1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.O-O Nf6 5.d4, matching the listed line.
kondratiyev	Kondratiyev, Pavel	Q117532	1924	1984	high	Vissarion Kondratiev (Q104149817), Soviet chess player born 1937, shares the surname; Wikidata also carries the variants Kondratyev, Kondratev and Kondratjew for this family name.	Wikidata Q117532 'Pavel Kondratyev', Soviet chess player and coach 1924-1984; German Wikipedia states that a French Defence variation he proposed was published in 1940 in Schachmaty w SSSR, tying him to the Winawer line. Left as 'Kondratiyev' to match the catalogue's opening name and Wikipedia's chess-eponym list, but note Wikidata's English label transliterates him as 'Kondratyev'.
koneru	Koneru, Humpy	Q255044	1987		high	Koneru is shared with her father and first coach Koneru Ashok, himself a chess player; this row is the grandmaster Humpy.	Wikidata Q255044 'Koneru Humpy', Indian chess player and grandmaster since 2002, born 31 March 1987; Koneru is the family name and Humpy the given name, so the inverted form is correct.
konikowski	Konikowski, Jerzy	Q88227	1947		high		His enwiki article (Wikidata Q88227) credits him with the gambit 1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 d5!? in the Ruy Lopez Cordel/Classical Defence, which is precisely the Konikowski Gambit line.
konstantinopolsky	Konstantinopolsky, Alexander	Q710798	1910	1990	high		en.wikipedia 'Alexander Konstantinopolsky' carries wikibase_item Q710798, and Wikipedia's list defines the Konstantinopolsky Opening as 1.e4 e5 2.Nf3 Nc6 3.g3, matching the catalogue's King's Knight Opening Main Line, g3.
korchnoi	Korchnoi, Viktor	Q212889	1931	2016	high		"Q212889 is the Soviet-Swiss grandmaster Viktor Korchnoi, enwiki ""Viktor Korchnoi"", the only chess player under that surname or its Korchnoy/Kortschnoi transliterations on Wikidata."
kramnik	Kramnik, Vladimir	Q161092	1975		high		Wikidata Q161092 'Vladimir Kramnik', Russian chess grandmaster b. 1975, FIDE ID 4101588, enwiki 'Vladimir Kramnik'; the only notable Kramnik in chess.
kruijs	van 't Kruijs, Maarten	Q2247859	1813	1885	high		Wikidata Q2247859 'Maarten van 't Kruijs', Dutch chess player 1813-1885, eponym of 1.e3; surname corrected because the family name is 'van 't Kruijs', not 'Kruijs' — the mechanical extraction dropped the nobiliary particle.
kushnir-aleksandr	Kushnir, Alla	Q269098	1941	2013	high	"The forename in the input is spurious, not a different human: the corpus itself proves it, because catalog/ocn-1.wch.tsv records the same 1969 Moscow/Tbilisi match under both ""Kushnir Aleksandr"" and ""Kushnir, Alla"". This row was one of the six refusals in docs/people-identity-findings.md; unlike `karpov` it is a single corrupted spelling rather than two humans merged, so it is safe to resolve — but the display name must be fixed to ""Kushnir, Alla"" in the same change, or the champion's challenger stays labelled with a man's forename."	"Wikidata Q269098 ""Alla Kushnir"", Russian-Israeli chess player (1941–2013); English Wikipedia records her three consecutive Women's World Championship challenges to Nona Gaprindashvili — 1965 Riga, 1969 Tbilisi–Moscow, 1972 Riga — which are precisely the three events on this person id in catalog/ocn-1.events.tsv (wch-1965/1969/1972-gaprindashvili-kushnir-aleksandr)."
lamb	Lamb, F.				not-found		No Wikidata entity found: a SPARQL sweep of items with occupation 'chess player' (Q10873124) whose English label contains 'Lamb' returned only Hans Lambert (Q27969667), Francois Xavier Lambert (Q55105165) and Koen Lambrechts (Q71315189), none of them an F. Lamb; web sources on the Blackmar-Diemer Declined Lamb Defence (1.d4 d5 2.e4 Nc6) document the line but never identify the person. Returning null rather than guessing.
lange	Lange, Max	Q62453	1832	1899	high	At least six other Max Langes exist on Wikidata (physician Q1912934, mathematician and Go player Q1912932, politician Q27505699, trade unionist Q94819080, orthopaedic surgeon Q18411569); only Q62453 is the chess master.	Wikidata Q62453, German chess master, bookseller and chess theoretician 1832-1899, the only chess Max Lange and eponym of the Max Lange Attack.
larsen	Larsen, Bent	Q108807	1935	2010	high	"Not a chess collision, but a live disambiguation hazard: Wikidata holds at least four other people labelled ""Bent Larsen"" (badminton player Q138633139, rower Q56254483, handball player Q4890337, plus Q38471596) and a disambiguation page Q12303181. None is a chess figure; a bare surname or bare-name match would land on one of them."	"Wikidata Q108807 ""Bent Larsen"", Danish chess grandmaster and author (1935–2010); the Larsen's Opening item Q645666 carries P138 (named after) → Q108807."
lasker	Lasker, Emanuel	Q57095	1868	1941	high	Shared with Edward Lasker (1885-1981), a separate German-American master and no close relation; the openings listed here are Emanuel's, not Edward's.	Wikidata Q57095 'Emanuel Lasker', world chess champion 1894-1921 (1868-1941); the QGD Lasker Defence and the Evans Gambit Lasker Defence are both his.
lei	Lei, Tingjie	Q16845654	1997		high		Wikidata Q16845654 'Lei Tingjie', Chinese chess player born 1997 (Women's World Championship challenger); surname Lei, given name Tingjie, so the input order is already correct.
leko	Leko, Peter	Q210922	1979		high		en.wikipedia 'Peter Leko' carries wikibase_item Q210922, and Wikipedia's list gives the Leko Gambit as 1.d4 Nf6 2.c4 g6 3.f3 e5, the Anti-Grünfeld line, named after him; English form kept over the Hungarian Péter Lékó, as Wikidata's English label does.
leonard	Leonard, James	Q6128173	1841	1862	high	The variation name invites confusion with Giovanni Leonardo Di Bona (Q455398), the 16th-century Italian master; the attested eponym is the 19th-century American Leonard, not Leonardo.	Wikidata Q6128173 'James A. Leonard', American chess player 1841-1862; Wikipedia's list of openings named after people gives the Leonardis Variation to James A. Leonard, and the repo's own named-after-people.tsv row C.KPO.d3 records the same attribution. Wikidata's label carries the middle initial ('James A. Leonard').
leonhardt	Leonhardt, Paul Saladin	Q66451	1877	1934	high		Wikidata Q66451 (human, chess player, Germany); enwiki's list gives 'Leonhardt Variation of the Evans Gambit, 4.b4 Bxb4 5.c3 Ba5 6.d4 b5' citing Hooper and Whyld, matching the listed line. Display name gains 'Saladin', which both the Wikidata label and the enwiki title carry.
levenfish	Levenfish, Grigory	Q585366	1889	1961	high		Wikidata Q585366 'Grigory Levenfish', Soviet chess player 1889-1961, en.wikipedia article; both catalogue rows (Sicilian Dragon 6.f4 Levenfish Attack and the Grünfeld Russian Hungarian ...b6 Levenfish Variation) name him.
levitsky	Levitsky, Stepan	Q166086	1876	1924	high	Andrey Levitskiy (Q71318535, b. 2002) is also a Wikidata chess player, and the surname is transliterated 'Levitzky' in older literature — this row is the 1876-1924 Russian master.	Wikidata Q166086 'Stepan Levitsky', Russian chess player 1876-1924, en.wikipedia article; the Levitsky Attack (1.d4 d5 2.Bg5) is his, the same line the catalogue also records under Julian Hodgson's name as the Hodgson Attack.
lisitsin	Lisitsin, Georgy	Q3760783	1909	1972	high		the Wikidata item for the Lisitsin Gambit (Q23047455) carries P138 'named after' pointing at Q3760783, and enwiki 'Georgy Lisitsin' maps to that same item (Soviet player 1909-1972).
lolli	Lolli, Giambattista	Q932335	1698	1769	high		Wikidata Q932335 'Giambattista Lolli', Italian chess player, composer and writer of the Modenese school (1698-1769), eponym of the Lolli Attack in the Two Knights Defence.
lopez	Bellón López, Juan Manuel	Q2561974	1950		high	"""López"" is shared with Ruy López de Segura (Q297457), also in this batch — and the surname split is exactly what went wrong here, so any keying on ""López"" alone will collide with the Ruy Lopez eponym."	"Wikidata Q2561974 ""Juan Manuel Bellón López"", Spanish chess player born 1950-05-08; the English Wikipedia article states he invented the Bellón Gambit in 1969, which is the listed King's English line. The input name is a mechanical error: it took the second (maternal) surname López as the family name, but the eponym and the conventional short form are Bellón."
lucena	Ramírez de Lucena, Luis	Q357782	1465	1530	high		Wikidata Q357782, Spanish chess player and author of the 1497 Repetición de amores y arte de ajedrez, credited with the Lucena Variation in OCN's eponym evidence file; surname corrected on the same principle given for Lopez de Segura, since the compound surname is 'Ramírez de Lucena' and the mechanical extraction kept only the final token. Dates are approximate (c. 1465 to c. 1530) and Wikidata carries both 1465 and 1475 for birth.
lundin	Lundin, Erik	Q653809	1904	1988	high	Jan Lundin (Q71304538) is another chess player of the same surname, and Wikidata holds at least five non-chess Erik Lundins (actor Q5967031, rapper Q24018410, tanner Q5967023, two researchers). Occupation and dates pin the right one.	Wikidata Q653809 'Erik Lundin', Swedish chess player 1904-1988, enwiki 'Erik Lundin'; ECO A40 1.d4 Nc6 is catalogued as 'Queen's pawn, Lundin (Kevitz-Mikenas) defence', named for the Swedish GM who took it up in the 1940s, which is the catalogue's Mikėnas Defence node.
lutikov	Lutikov, Anatoly	Q488017	1933	1989	high		Wikidata Q488017 'Anatoly Lutikov', Soviet/Russian chess grandmaster 1933-1989, en.wikipedia article; the catalogue's Grünfeld Sämisch row carries the alias 'Grünfeld Defense: Lutikov Variation' (lichess), and three further catalogue rows carry his name.
macleod	MacLeod, Nicholas	Q7025815	1870	1965	high	Norman Macleod (Q351085), British player and problem composer 1927-1991, is another chess Macleod; separately, a non-chess Nicholas MacLeod (Q76065344, b. 1955) shares the full name.	enwiki 'Nicholas MacLeod' maps to Q7025815 (British-Canadian player Nicholas Menalaus MacLeod, 1870-1965), the eponym Wikipedia's openings list names for the MacLeod Attack 1.e4 e5 2.c3.
makogonov	Makogonov, Vladimir	Q517045	1904	1993	high		Wikidata Q517045 'Vladimir Makogonov', Azerbaijani/Soviet chess player (1904-1993), IM 1950 and honorary GM 1987, eponym of the KID Makogonov (h3) system.
maroczy	Maróczy, Géza	Q305054	1870	1951	high		Wikidata Q305054 'Géza Maróczy', Hungarian GM 1870-1951, sole notable Maróczy and eponym of the Maróczy Bind.
marshall	Marshall, Frank	Q312814	1877	1944	high	"This repo's own people table already holds a second Marshall row, `marshall-viele` = ""Marshall Viele, Fabrizio Aaron"", an unrelated (and corrupted) corpus spelling; do not let the two rows converge on Q312814. Wikidata also has multiple non-chess Frank Marshalls."	"Wikidata Q312814 ""Frank Marshall"" (Frank James Marshall), American chess player 1877-08-10 to 1944-11-09; both the Marshall Defense item Q1709120 and the Petrov's Defence Marshall Trap item Q7179126 carry P138 (named after) → Q312814."
marshall-viele	Marshall, Frank	Q312814	1877	1944	high	The mechanically derived input 'Marshall Viele, Fabrizio Aaron' conflates the 1907 challenger with an unrelated modern double-surname record that no chess source corroborates; treat any future 'Marshall Viele' string as the same conflation.	Wikidata Q312814 'Frank Marshall', American chess player 1877-1944 (enwiki 'Frank Marshall (chess player)'); the input name is corrupt, since every game on this row is from the single event 'World Championship 7th, 1907' against Lasker in New York, Philadelphia, Baltimore, Chicago and Memphis, which was Lasker versus Frank J. Marshall. Wikidata's label is the short form; the full name is Frank James Marshall.
martinovsky	Martinovsky, Eugene	Q65697695			medium	Do not confuse with the Serbian GM Slobodan Martinović (different surname spelling) who surfaces in the same searches; the co-eponym Karklins is a separate American player, Andrew Karklins.	Wikidata Q65697695 'Eugene Simeon Martinovsky', US correspondence chess player (ICCM 2000, ICCF ID 510198) and the only chess Martinovsky on Wikidata; the distinctive full name matches the ChessBase over-the-board record for the Chicago master who co-names the Petrov Karklins-Martinovsky, and sources confirm the same man was twice US correspondence champion and an OTB tournament regular, but the item is a bare ICCF import with no dates, no sitelinks and no OTB statements, so the OTB/CC identity link is inferred from the name rather than asserted on the item. He died shortly before the Feb-Mar 2002 US Masters, which was renamed the Dr. Eugene Martinovsky Memorial Masters; that date is not recorded on Wikidata, so born/died are left empty.
master	Gunderam, Gerhart	Q1512937	1904	1992	high		Input name 'Master, International' is a source-text parse artifact, not a person; the row's sole opening resolves the eponym to Wikidata Q1512937 'Gerhart Gunderam', German chess theoretician (1904-1992), dewiki 'Gerhart Gunderam' — both dewiki and enwiki 'Gunderam Defense' confirm 1.e4 e5 2.Nf3 Qe7 (ECO C40) is named after him. He was a correspondence-chess theoretician, not an International Master, so the input string is doubly wrong.
mccutcheon	McCutcheon, John	Q55653977	1857	1905	high	No en label and only a ruwiki sitelink, so text search finds the far more famous namesakes first: John T. McCutcheon the cartoonist and John McCutcheon the folk musician. Note the opening is conventionally spelled MacCutcheon in ECO while the man is McCutcheon.	Q55653977 is labelled (under the 'mul' language code) 'John Lindsay McCutcheon', described 'lawyer and chess player', American, 1857-1905, matching the Pittsburgh lawyer who played the line against Steinitz in 1885.
mcdonnell	McDonnell, Alexander	Q555043	1798	1835	high	George Alcock MacDonnell (Q2630805), Irish chess player and writer 1830-1899, also has openings bearing the MacDonnell spelling. The La Bourdonnais match provenance rules him out here.	Wikidata Q555043 'Alexander McDonnell', Irish chess master 1798-1835, enwiki 'Alexander McDonnell (chess player)'; the catalogue's own row C.KGm.Acc.Nf3.KKn.Bc4.McD quotes the Oxford Companion, 'successfully introduced by McDONNELL in the first game of his third match against [La] BOURDONNAIS', which dates it to the 1834 matches and fixes it on this McDonnell.
mieses	Mieses, Jacques	Q77379	1865	1954	high		"Wikidata Q77379 ""Jacques Mieses"", German-British chess player and chess author, 1865-02-27 to 1954-02-23; the Mieses Opening item Q1540957 carries P138 (named after) → Q77379."
mikenas	Mikėnas, Vladas	Q715582	1910	1992	high	Alius Mikėnas (Q21789881, b. 1955) is a separate Lithuanian chess player with the same surname; the eponym is the 1910-1992 Vladas.	His enwiki article (Wikidata Q715582) names both the Mikėnas Variation of the Modern Benoni and the Flohr-Mikėnas Variation of the English Opening, matching both listed openings.
miles	Miles, Tony	Q203644	1955	2001	high	Several unrelated Tony/Anthony Miles items exist on Wikidata (Q7822977 American football player, Q55530833 poker player, Q16732596 newspaper editor, Q16228471 basketball player, plus disambiguation Q7822978). No other notable chess Miles, but name-only matching is unsafe.	Wikidata Q203644 'Tony Miles', human, British chess player 1955-2001 (enwiki lead: Anthony John Miles, first English GM); enwiki eponym list credits him with the Miles Variation of the Queen's Indian (1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Bf4), the QID line listed. Kept as 'Tony' because that is the Wikidata label and enwiki title; 'Anthony John Miles' and 'Anthony Miles' are only aliases.
monster	Frankenstein's monster	Q2021531			medium	'Frankenstein' alone commonly and wrongly denotes Victor Frankenstein the scientist rather than the creature. Wikidata also has same-titled distinct items: Q1131389 (Marvel character), Q102440966 and Q102442594 (TMNT characters), Q16259544 (1983 video game), Q56433191 (Geneva statue).	Wikidata Q2021531 'Frankenstein's monster', the 1818 fictional character by Mary Shelley; enwiki 'List of chess openings named after people' states the Frankenstein-Dracula Variation of the Vienna Game (1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 - the Vienna Falkbeer main line listed) is 'named after Frankenstein's monster and Count Dracula'. Confidence medium only because this is a fictional character, not a person, and the row's counterpart eponym Count Dracula appears to be missing from the catalogue.
morozevich	Morozevich, Alexander	Q312918	1977		high		enwiki 'Alexander Morozevich' maps to Q312918, the only chess player named Morozevich on Wikidata, and the French Tarrasch 3...Be7 Morozevich Variation is named for his practice with it.
